Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	PiEntropy	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
1	8.4	4.758151	14.0	2.0	6.2	2.993326	12.0	3.0	1830.2	1853.6	10000	19.768515	6.599419	38.903893	-1.589022	19.768976	6.599077	39.133698	-3.9986258	2.1269877	1.0986121	0.39421844	-20.557528	0.165184	0.15883932	-1.1288972	234.3299114704132
2	6.428571	2.6649654	11.0	2.0	7.1	1.6401219	11.0	5.0	1482.2858	1736.6	20000	21.241182	2.7078447	43.609222	-4.839679	21.241201	2.7089067	41.659378	-8.9366255	1.6079156	1.0986121	0.04111082	-21.31367	0.15089716	0.14832221	-1.5734016	480.2892186641693
3	5.714286	2.118914	8.0	1.0	11.9	3.207803	16.0	7.0	1472.1428	2731.9	30000	13.552633	2.309599	29.682749	-3.7499285	13.552645	2.309878	29.688467	-4.65345	1.1407084	1.0986121	0.009305073	-13.554565	0.061915934	0.061134417	-0.19551341	755.805577993393
4	5.428571	2.6108096	8.0	1.0	8.9	4.6357307	14.0	2.0	1369.8572	2554.3	40000	8.538815	1.405637	20.394476	-2.125245	8.538792	1.4058815	20.464283	-2.7961152	1.1129253	1.0986122	0.0063917995	-8.535628	0.025135392	0.02497375	-0.0734213	1016.5746269226074
5	11.8	5.74108	20.0	2.0	15.1	1.3747728	19.0	14.0	1997.8	3884.3	50000	5.5310626	0.9216819	11.522797	-1.4511633	5.531067	0.9219481	11.227441	-1.3489264	1.1094856	1.0986121	0.004629001	-5.527777	0.0115602035	0.011354192	-0.058262955	1320.7036850452423
6	8.5	4.3301272	14.0	2.0	13.2	4.422669	19.0	4.0	2052.25	3176.6	60000	3.7163157	0.65538216	8.644954	-1.1239641	3.7163038	0.6554406	8.745127	-1.0492387	1.1079203	1.0986121	0.003988631	-3.711632	0.006771682	0.0067897392	-0.051248655	1588.4555110931396
7	11.4	1.356466	13.0	9.0	9.1	3.5902646	13.0	3.0	2238.2	2402.7	70000	2.43481	0.59745455	5.753488	-0.7226966	2.4348302	0.5974514	5.9323606	-0.7762692	1.1048528	1.0986122	0.0033156676	-2.4289765	0.0044614486	0.0044396124	-0.03517773	1890.529215335846
8	9.666667	4.109609	15.0	5.0	0.3	0.90000004	3.0	0.0	2662.3333	16373.6	80000	1.6148905	0.47992268	2.7237108	-0.47693044	1.61491	0.47988263	2.6307368	-0.5692062	1.1023006	1.0986121	0.0031079412	-1.6092457	0.0036689502	0.003654317	-0.021024592	2524.3978707790375
9	15.333333	8.576453	26.0	5.0	0.0	0.0	0.0	0.0	3770.3333	18000.0	90000	1.0995022	0.40396	2.418165	-0.26023185	1.0994923	0.4039477	2.2654274	-0.30495378	1.1051183	1.0986121	0.002926658	-1.0943584	0.0026321881	0.0026426194	-0.037926763	3272.106011867523
10	10.5	4.031129	15.0	6.0	5.6	3.0066595	12.0	2.0	2747.75	18000.0	100000	0.70684224	0.32243758	2.0161145	-0.14040437	0.70685625	0.32243964	1.9985808	-0.16394508	1.1027663	1.0986121	0.0026274163	-0.7020996	0.0019919465	0.0019866666	-0.02471881	4006.2228186130524
11	9.2	3.7094474	14.0	4.0	7.5	2.7658634	14.0	4.0	1854.8	1670.6	110000	0.47485468	0.25204346	1.6829427	-0.15194073	0.474874	0.25208107	1.7524841	-0.1430225	1.0983833	1.0986121	0.002391101	-0.47026244	0.0017032217	0.0016753371	0.0014502546	4255.217094898224
12	6.285714	2.7627256	12.0	3.0	11.5	3.442383	18.0	7.0	1460.4286	2304.8	120000	0.33364257	0.20553683	2.043148	-0.13591024	0.33365098	0.20559974	2.217695	-0.12762943	1.1030807	1.0986121	0.0021957944	-0.32963872	0.0015813353	0.0015618745	-0.027062193	4535.860981702805
13	7.0	4.427189	15.0	2.0	10.2	3.3704598	16.0	5.0	1792.8	1861.1	130000	0.26008677	0.1758142	3.5246274	-0.20488366	0.2600957	0.17601052	3.4350238	-0.14216387	1.1003292	1.0986121	0.0021350705	-0.2563672	0.0015548386	0.0015280719	-0.010535503	4782.420793294907
14	6.857143	3.562847	13.0	2.0	0.3	0.90000004	3.0	0.0	1535.2858	18000.0	140000	0.22114363	0.1496201	2.509559	-0.17855945	0.22114785	0.14965118	2.4046764	-0.16863406	1.0979455	1.0986121	0.002072433	-0.21793164	0.0014711213	0.001463841	0.004231664	5516.777586936951
15	16.0	8.164966	26.0	6.0	6.9	4.570558	15.0	2.0	3373.6667	6964.4	150000	0.20284528	0.1407017	2.7516336	-0.2008075	0.20285973	0.14074813	2.9610612	-0.2205458	1.0967457	1.0986121	0.0019926713	-0.19985323	0.0014253319	0.0014148352	0.011575515	5925.861590623856
16	10.2	2.0396078	13.0	8.0	0.0	0.0	0.0	0.0	2125.6	18000.0	160000	0.21225294	0.14833647	3.026662	-0.22244367	0.21226792	0.14846765	3.0372055	-0.23087826	1.0980858	1.0986121	0.002156951	-0.20937128	0.0014901618	0.0014589312	0.00329676	6659.657829999924
17	11.8	4.749737	18.0	4.0	10.8	4.069398	15.0	4.0	2021.4	2428.1	170000	0.20827256	0.15373787	4.279452	-0.20173895	0.20829968	0.15384622	3.5774257	-0.21203919	1.104231	1.0986121	0.0020426107	-0.20514318	0.0014100933	0.0013985743	-0.034708086	6941.887194633484
18	7.0	2.1602468	11.0	4.0	9.9	3.7	15.0	4.0	1520.5	2120.4	180000	0.20028652	0.15569156	2.1995425	-0.19941562	0.20028108	0.15549088	2.623724	-0.21357848	1.0956193	1.0986121	0.002024247	-0.19712524	0.0013418735	0.0013796771	0.018685518	7198.529896974564
19	8.166667	3.0230594	13.0	4.0	10.3	5.1195703	17.0	4.0	1744.5	9106.3	190000	0.19706793	0.16191307	2.040396	-0.23062995	0.19708201	0.16167669	2.3625433	-0.23739111	1.0955029	1.0986121	0.002093995	-0.1937277	0.0013621884	0.0014039698	0.019226782	7680.290617227554
20	9.0	3.34664	15.0	5.0	10.2	3.6	15.0	3.0	1679.8	2004.4	200000	0.18975033	0.1611753	2.1677866	-0.23554476	0.18979095	0.16089024	2.3746798	-0.2527639	1.1030995	1.0986121	0.002119432	-0.18633077	0.0013062004	0.0013487384	-0.027700735	7924.906377792358
21	9.142858	3.0904725	14.0	5.0	8.2	3.1241	12.0	4.0	1753.8572	16370.9	210000	0.17993662	0.1625889	2.2690766	-0.24479721	0.17993878	0.16238609	2.3880937	-0.24650985	1.0991871	1.0986121	0.001984456	-0.17625923	0.001252009	0.0012814994	-0.0035345305	8649.473073720932
22	11.5	3.095696	15.0	7.0	12.6	4.7791214	23.0	6.0	1748.5	1673.7	220000	0.1745448	0.1664693	1.7782681	-0.28967384	0.17454389	0.16619843	2.0803301	-0.26643223	1.1009741	1.0986122	0.0019937642	-0.17089812	0.001224882	0.0012744643	-0.014742139	8924.568890333176
23	9.428572	5.900536	18.0	0.0	12.0	4.427189	18.0	3.0	1337.1428	1594.1	230000	0.17044823	0.17079301	1.8871471	-0.31306842	0.17045711	0.1705595	2.1996047	-0.31830487	1.0939599	1.0986121	0.0019031822	-0.16670746	0.0012112267	0.0012562583	0.029087896	9176.127314090729
24	12.142858	3.562847	16.0	5.0	13.0	2.48998	15.0	7.0	1478.2858	1612.8	240000	0.17007604	0.17495196	2.437531	-0.29646704	0.17008904	0.17466703	2.1349106	-0.2860664	1.0998315	1.0986122	0.0019151707	-0.1661112	0.0012728566	0.001314608	-0.007536848	9445.281030416489
25	12.428572	3.0639443	14.0	5.0	13.1	5.2810984	25.0	5.0	1386.0	4845.3	250000	0.1738783	0.17923275	2.0967069	-0.21734911	0.17392074	0.17893004	2.133138	-0.22834383	1.1063099	1.0986121	0.0019066521	-0.16997829	0.001202269	0.0012598652	-0.048451193	9794.634274244308
26	13.428572	3.7742412	18.0	6.0	17.0	4.7116876	27.0	8.0	1503.2858	1797.3	260000	0.17677572	0.1887715	1.898202	-0.23082544	0.17677149	0.18853058	1.8715926	-0.21952657	1.0924726	1.0986121	0.001986989	-0.17314143	0.0012322469	0.0012657039	0.038769424	10075.223552465439
27	11.714286	5.1745057	15.0	0.0	16.0	2.0976176	20.0	13.0	1258.5714	1681.6	270000	0.1898479	0.19910498	1.8626367	-0.2063005	0.18986852	0.19888273	1.8638582	-0.2120405	1.0985651	1.0986121	0.0019304128	-0.1859738	0.0011740688	0.001223388	0.0003352898	10318.100829601288
28	13.285714	4.463	19.0	6.0	16.5	2.3345234	22.0	14.0	1550.4286	1761.9	280000	0.18913482	0.2122189	1.7512857	-0.23590633	0.18912286	0.21203549	1.7676086	-0.22713238	1.1021497	1.0986121	0.0019013496	-0.18480624	0.0011797795	0.0012316676	-0.022200378	10603.188624382019
29	13.285714	4.1305237	17.0	6.0	14.2	2.0880613	18.0	11.0	1467.7142	1667.1	290000	0.17416441	0.216977	1.6862437	-0.27825457	0.17415255	0.21680205	1.6974105	-0.28708726	1.0997598	1.0986121	0.001794321	-0.16926053	0.0011881423	0.0012177886	-0.007234008	10872.69339299202
30	13.0	4.725816	18.0	3.0	16.1	4.1097445	25.0	9.0	1586.3334	11510.1	300000	0.16361867	0.22360206	1.9762123	-0.3279429	0.16361155	0.22353444	1.9022772	-0.32786217	1.0947932	1.0986121	0.0019138816	-0.15904744	0.001218622	0.0012325195	0.024115957	11406.611998319626
31	15.833333	4.0173235	20.0	10.0	17.8	4.874423	26.0	10.0	1697.5	5235.4	310000	0.15639263	0.2309163	1.703966	-0.4368397	0.1563822	0.23081721	1.9092462	-0.380799	1.0977404	1.0986121	0.0018318599	-0.15119234	0.0012761466	0.0012942366	0.005512681	11776.900708198547
32	14.333333	4.1499667	21.0	7.0	14.7	2.4103942	20.0	10.0	1545.0	1681.5	320000	0.13878098	0.23447819	1.7465764	-0.4495412	0.13876744	0.23448955	1.7272063	-0.4369231	1.099931	1.0986121	0.0018682132	-0.13333288	0.0012731056	0.0012590602	-0.008243785	12033.85475564003
